id	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
196	0	0	0	0	NOV
197	0	0	0	0	NOV
198	0	0	0	0	NOV
199	0	0	0	0	NOV
200	0	0	0	0	NOV
201	0	0	0	0	NOV
202	0	0	0	0	NOV
203	0	0	0	0	NOV
204	0	0	0	0	NOV
205	0	0	0	0	NOV
206	0	0	0	0	NOV
207	0	0	0	0	NOV
208	0	0	0	0	NOV
209	0	0	0	0	NOV
210	0	0	0	0	NOV
211	0	0	0	0	NOV
212	0	0	0	0	NOV
213	0	0	0	0	NOV
214	0	0	0	0	NOV
215	0	526	0	526	NOC	skipped 0 overlaps; used 47 overlaps
216	0	0	0	0	NOV
217	0	0	0	0	NOV
218	0	0	0	0	NOV
219	0	0	0	0	NOV
220	0	0	0	0	NOV
221	0	0	0	0	NOV
222	0	0	0	0	NOV
223	0	0	0	0	NOV
224	0	0	0	0	NOV
225	0	0	0	0	NOV
226	0	0	0	0	NOV
227	0	0	0	0	NOV
228	0	503	0	503	NOC	skipped 0 overlaps; used 47 overlaps
229	0	0	0	0	NOV
230	0	0	0	0	NOV
231	0	0	0	0	NOV
232	0	0	0	0	NOV
233	0	0	0	0	NOV
234	0	0	0	0	NOV
235	0	0	0	0	NOV
236	0	0	0	0	NOV
237	0	0	0	0	NOV
238	0	547	0	547	NOC	skipped 0 overlaps; used 47 overlaps
239	0	0	0	0	NOV
240	0	0	0	0	NOV
241	0	0	0	0	NOV
242	0	0	0	0	NOV
243	0	0	0	0	NOV
244	0	0	0	0	NOV
245	0	0	0	0	NOV
246	0	0	0	0	NOV
247	0	0	0	0	NOV
248	0	0	0	0	NOV
249	0	0	0	0	NOV
250	0	514	20	514	MOD	skipped 0 overlaps; used 47 overlaps
251	0	0	0	0	NOV
252	0	0	0	0	NOV
253	0	0	0	0	NOV
254	0	0	0	0	NOV
255	0	0	0	0	NOV
256	0	0	0	0	NOV
257	0	0	0	0	NOV
258	0	0	0	0	NOV
259	0	0	0	0	NOV
260	0	0	0	0	NOV
261	0	0	0	0	NOV
262	0	0	0	0	NOV
263	0	0	0	0	NOV
264	0	0	0	0	NOV
265	0	0	0	0	NOV
266	0	512	0	512	NOC	skipped 0 overlaps; used 47 overlaps
267	0	0	0	0	NOV
268	0	0	0	0	NOV
269	0	0	0	0	NOV
270	0	532	0	532	NOC	skipped 0 overlaps; used 47 overlaps
271	0	0	0	0	NOV
272	0	0	0	0	NOV
273	0	0	0	0	NOV
274	0	0	0	0	NOV
275	0	0	0	0	NOV
276	0	0	0	0	NOV
277	0	0	0	0	NOV
278	0	0	0	0	NOV
279	0	0	0	0	NOV
280	0	0	0	0	NOV
281	0	0	0	0	NOV
282	0	0	0	0	NOV
283	0	0	0	0	NOV
284	0	0	0	0	NOV
285	0	0	0	0	NOV
286	0	0	0	0	NOV
287	0	0	0	0	NOV
288	0	525	0	525	NOC	skipped 0 overlaps; used 47 overlaps
289	0	0	0	0	NOV
290	0	0	0	0	NOV
291	0	0	0	0	NOV
292	0	518	0	518	NOC	skipped 0 overlaps; used 47 overlaps
293	0	0	0	0	NOV
294	0	0	0	0	NOV
295	0	0	0	0	NOV
296	0	0	0	0	NOV
297	0	0	0	0	NOV
298	0	529	0	529	NOC	skipped 0 overlaps; used 47 overlaps
299	0	0	0	0	NOV
300	0	0	0	0	NOV
301	0	0	0	0	NOV
302	0	0	0	0	NOV
303	0	0	0	0	NOV
304	0	0	0	0	NOV
305	0	0	0	0	NOV
306	0	0	0	0	NOV
307	0	0	0	0	NOV
308	0	0	0	0	NOV
309	0	0	0	0	NOV
310	0	542	0	542	NOC	skipped 0 overlaps; used 47 overlaps
311	0	0	0	0	NOV
